"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
171,,-6.0250176e-3,MISO,2,0x0004,OK
172,,-6.0055168e-3,MOSI,2,0x8800,OK
173,,-6.0055168e-3,MISO,2,0x0004,OK
174,,-5.9860160e-3,MOSI,2,0x8800,OK
175,,-5.9860160e-3,MISO,2,0x0004,OK
176,,-5.9665152e-3,MOSI,2,0x8800,OK
177,,-5.9665152e-3,MISO,2,0x0004,OK
178,,-5.9470144e-3,MOSI,2,0x8800,OK
179,,-5.9470144e-3,MISO,2,0x0004,OK
180,,-5.9275136e-3,MOSI,2,0x8800,OK
181,,-5.9275136e-3,MISO,2,0x0004,OK
182,,-5.9080128e-3,MOSI,2,0x8800,OK
183,,-5.9080128e-3,MISO,2,0x0004,OK
184,,-5.8885120e-3,MOSI,2,0x8800,OK
185,,-5.8885120e-3,MISO,2,0x0004,OK
186,,-5.8690176e-3,MOSI,2,0x8800,OK
187,,-5.8690176e-3,MISO,2,0x0004,OK
188,,-5.8495168e-3,MOSI,2,0x8800,OK
189,,-5.8495168e-3,MISO,2,0x0004,OK
190,,-5.8300160e-3,MOSI,2,0x8800,OK
191,,-5.8300160e-3,MISO,2,0x0004,OK
192,,-5.8105152e-3,MOSI,2,0x8800,OK
193,,-5.8105152e-3,MISO,2,0x0004,OK
194,,-5.7910144e-3,MOSI,2,0x8800,OK
195,,-5.7910144e-3,MISO,2,0x0004,OK
196,,-5.7715136e-3,MOSI,2,0x8800,OK
197,,-5.7715136e-3,MISO,2,0x0004,OK
198,,-5.7520128e-3,MOSI,2,0x8800,OK
199,,-5.7520128e-3,MISO,2,0x0004,OK
200,,-5.7325120e-3,MOSI,2,0x8800,OK
201,,-5.7325120e-3,MISO,2,0x0004,OK
202,,-5.7130112e-3,MOSI,2,0x8800,OK
203,,-5.7130112e-3,MISO,2,0x0004,OK
204,,-5.6935168e-3,MOSI,2,0x8800,OK
205,,-5.6935168e-3,MISO,2,0x0004,OK
206,,-5.6740160e-3,MOSI,2,0x8800,OK
207,,-5.6740160e-3,MISO,2,0x0004,OK
208,,-5.6545152e-3,MOSI,2,0x8800,OK
209,,-5.6545152e-3,MISO,2,0x0004,OK
210,,-5.6350144e-3,MOSI,2,0x8800,OK
211,,-5.6350144e-3,MISO,2,0x0004,OK
212,,-5.6155136e-3,MOSI,2,0x8800,OK
213,,-5.6155136e-3,MISO,2,0x0004,OK
214,,-5.5960128e-3,MOSI,2,0x8800,OK
215,,-5.5960128e-3,MISO,2,0x0004,OK
216,,-5.5765120e-3,MOSI,2,0x8800,OK
217,,-5.5765120e-3,MISO,2,0x0004,OK
218,,-5.5570112e-3,MOSI,2,0x8800,OK
219,,-5.5570112e-3,MISO,2,0x0004,OK
220,,-5.5375168e-3,MOSI,2,0x8800,OK
221,,-5.5375168e-3,MISO,2,0x0004,OK
222,,-5.5180160e-3,MOSI,2,0x8800,OK
223,,-5.5180160e-3,MISO,2,0x0004,OK
224,,-5.4985152e-3,MOSI,2,0x8800,OK
225,,-5.4985152e-3,MISO,2,0x0004,OK
226,,-5.4790144e-3,MOSI,2,0x8800,OK
227,,-5.4790144e-3,MISO,2,0x0004,OK
228,,-5.4595136e-3,MOSI,2,0x8800,OK
229,,-5.4595136e-3,MISO,2,0x0004,OK
230,,-5.4400128e-3,MOSI,2,0x8800,OK
231,,-5.4400128e-3,MISO,2,0x0004,OK
